Date, Open, High, Low, Close
05/30/19, 439.03, 437.11, 437.11, 437.11
05/29/19, 439.49, 439.07, 439.07, 439.07
05/28/19, 444.39, 439.55, 439.55, 439.55
05/24/19, 444.42, 444.42, 444.42, 444.42
05/23/19, 447.62, 441.03, 441.03, 441.03
05/22/19, 449.93, 447.70, 447.70, 447.70
05/21/19, 446.10, 449.95, 449.95, 449.95
05/20/19, 445.51, 446.13, 446.13, 446.13
05/17/19, 448.12, 445.52, 445.52, 445.52
05/16/19, 443.37, 448.19, 448.19, 448.19
05/15/19, 445.45, 443.33, 443.33, 443.33
05/14/19, 441.90, 445.47, 445.47, 445.47
05/13/19, 454.91, 441.95, 441.95, 441.95
05/10/19, 452.65, 455.03, 455.03, 455.03
05/09/19, 452.95, 452.67, 452.67, 452.67
05/08/19, 454.59, 453.30, 453.30, 453.30
05/07/19, 462.41, 454.60, 454.60, 454.60
05/06/19, 465.43, 462.42, 462.42, 462.42
05/03/19, 461.54, 465.52, 465.52, 465.52
05/02/19, 461.01, 461.70, 461.70, 461.70
05/01/19, 464.94, 460.97, 460.97, 460.97
04/30/19, 464.22, 464.95, 464.95, 464.95
04/29/19, 460.01, 464.22, 464.22, 464.22
04/26/19, 455.62, 459.96, 459.96, 459.96
04/25/19, 454.48, 455.67, 455.67, 455.67
04/24/19, 455.12, 454.49, 454.49, 454.49
04/23/19, 452.49, 455.13, 455.13, 455.13
04/22/19, 453.65, 452.49, 452.49, 452.49
04/18/19, 454.73, 453.66, 453.66, 453.66
04/17/19, 453.95, 454.76, 454.76, 454.76
04/16/19, 447.80, 453.93, 453.93, 453.93
04/15/19, 450.57, 447.81, 447.81, 447.81
04/12/19, 442.12, 450.63, 450.63, 450.63
04/11/19, 439.87, 442.11, 442.11, 442.11
04/10/19, 438.17, 439.65, 439.65, 439.65
04/09/19, 441.99, 438.18, 438.18, 438.18
04/08/19, 441.36, 442.06, 442.06, 442.06
04/05/19, 441.03, 441.40, 441.40, 441.40
04/04/19, 438.47, 441.01, 441.01, 441.01
04/03/19, 437.51, 438.87, 438.87, 438.87
04/02/19, 437.53, 437.48, 437.48, 437.48
04/01/19, 427.20, 437.53, 437.53, 437.53
03/29/19, 425.83, 427.19, 427.19, 427.19
03/28/19, 422.42, 425.83, 425.83, 425.83
03/27/19, 424.19, 422.33, 422.33, 422.33
03/26/19, 419.43, 424.19, 424.19, 424.19
03/25/19, 421.10, 419.44, 419.44, 419.44
03/22/19, 433.02, 421.09, 421.09, 421.09
03/21/19, 434.31, 433.09, 433.09, 433.09
03/20/19, 443.65, 434.40, 434.40, 434.40
03/19/19, 447.07, 443.66, 443.66, 443.66
03/18/19, 442.54, 447.08, 447.08, 447.08
03/15/19, 439.71, 442.54, 442.54, 442.54
03/14/19, 437.83, 439.74, 439.74, 439.74
03/13/19, 434.80, 437.94, 437.94, 437.94
03/12/19, 434.00, 434.77, 434.77, 434.77
03/11/19, 429.76, 433.99, 433.99, 433.99
03/08/19, 429.67, 429.74, 429.74, 429.74
03/07/19, 434.27, 429.74, 429.74, 429.74
03/06/19, 437.47, 434.36, 434.36, 434.36
03/05/19, 438.85, 437.48, 437.48, 437.48
03/04/19, 441.61, 438.91, 438.91, 438.91
03/01/19, 439.25, 441.64, 441.64, 441.64
02/28/19, 440.27, 439.26, 439.26, 439.26
02/27/19, 438.83, 440.49, 440.49, 440.49
02/26/19, 439.97, 438.93, 438.93, 438.93
02/25/19, 438.14, 439.97, 439.97, 439.97
02/22/19, 439.15, 438.13, 438.13, 438.13
02/21/19, 441.13, 439.16, 439.16, 439.16
02/20/19, 438.52, 441.13, 441.13, 441.13
02/19/19, 437.65, 438.59, 438.59, 438.59
02/15/19, 429.11, 437.75, 437.75, 437.75
02/14/19, 434.11, 429.09, 429.09, 429.09
02/13/19, 433.20, 434.12, 434.12, 434.12
02/12/19, 426.57, 433.26, 433.26, 433.26
02/11/19, 425.54, 426.60, 426.60, 426.60
02/08/19, 427.85, 425.53, 425.53, 425.53
02/07/19, 431.91, 427.88, 427.88, 427.88
02/06/19, 433.10, 431.92, 431.92, 431.92
02/05/19, 433.73, 433.10, 433.10, 433.10
02/04/19, 432.04, 433.72, 433.72, 433.72
02/01/19, 429.52, 432.10, 432.10, 432.10
01/31/19, 430.76, 429.90, 429.90, 429.90
01/30/19, 429.09, 431.06, 431.06, 431.06
01/29/19, 430.44, 429.20, 429.20, 429.20
01/28/19, 431.61, 430.48, 430.48, 430.48
01/25/19, 427.94, 431.63, 431.63, 431.63
01/24/19, 427.08, 427.97, 427.97, 427.97
01/23/19, 426.95, 427.10, 427.10, 427.10
01/22/19, 431.62, 426.95, 426.95, 426.95
01/18/19, 424.40, 431.64, 431.64, 431.64
01/17/19, 422.00, 424.38, 424.38, 424.38
01/16/19, 412.97, 422.09, 422.09, 422.09
01/15/19, 409.68, 412.99, 412.99, 412.99
01/14/19, 406.71, 409.68, 409.68, 409.68
01/11/19, 406.04, 406.73, 406.73, 406.73
01/10/19, 405.29, 406.03, 406.03, 406.03
01/09/19, 403.46, 405.55, 405.55, 405.55
01/08/19, 403.48, 403.47, 403.47, 403.47
01/07/19, 402.54, 403.47, 403.47, 403.47
01/04/19, 389.78, 402.54, 402.54, 402.54
01/03/19, 398.38, 389.74, 389.74, 389.74
01/02/19, 395.85, 398.82, 398.82, 398.82
12/31/18, 392.05, 395.90, 395.90, 395.90
12/28/18, 391.89, 392.06, 392.06, 392.06
12/27/18, 387.61, 392.00, 392.00, 392.00
12/26/18, 370.52, 387.71, 387.71, 387.71
12/24/18, 379.39, 370.49, 370.49, 370.49
12/21/18, 386.97, 379.40, 379.40, 379.40
12/20/18, 389.96, 386.97, 386.97, 386.97
12/19/18, 394.90, 390.00, 390.00, 390.00
12/18/18, 396.80, 394.90, 394.90, 394.90
12/17/18, 400.70, 396.81, 396.81, 396.81
12/14/18, 404.82, 400.72, 400.72, 400.72
12/13/18, 407.18, 404.86, 404.86, 404.86
12/12/18, 405.50, 407.26, 407.26, 407.26
