DBR,AMROBK,BACR-Bank,BNP,BYLAN,CMZB,CSGAG,DB,DZBK,ERGBA,HSBC,HSBC-HSBCBank,INTNED,LBW,NDB,SANPAO,SANTNDR,SEB,SOCGEN,UBS,UCBAG,BACF-BankNA,C,CRDSUI-USAInc,GS,JPM,MWD,RY,MIZUHBA,NOMURA
0.026897917,-0.000350844,-0.045914732,-0.02966176,-0.052655499,-0.025561028,-0.029919802,-0.028469315,-9.61E-05,0.003554691,-0.002067975,-0.03821464,-0.000457904,0.000470155,-0.00073174,-0.039993606,-0.049620328,-0.009123347,-0.036334728,-0.046074796,-0.00013742,-0.065977594,-0.045329564,-0.006286083,-0.049417222,-0.044012734,-0.04495109,-0.000890575,0.032430516,0.058364274
0.067490776,0.001927252,0.071689132,0.025349965,0.027590525,0.012019974,0.007209539,0.009758779,0.003162649,-0.000515148,-0.018534914,0.02640897,-0.010922253,0.010750198,-4.17E-05,0.011642794,0.00241508,-0.005901995,0.023108052,0.027652525,2.42E-05,0.017958244,-0.015126764,0.000198978,0.006143108,-0.001883031,-0.001140167,-0.088979745,-0.024036296,-0.020182544
-0.063249304,0.013634726,0.026231966,0.012937293,-0.016775266,-0.004156847,0.004143189,-0.002337009,0.000185152,0.003315055,0.031622893,0.001885711,0.018680825,-0.015241446,0.000416057,-0.008440119,-0.005526319,0.003105224,0.009768285,-0.003896986,0.00067438,-0.000421817,-0.00753255,-0.053135933,0.000695354,0.003300587,-0.001267336,0.089079994,-0.002874889,-0.038743599
0.043774904,0.016311572,0.002107072,0.013451058,-0.020150512,0.01274675,0.012720288,0.007768244,-0.000492399,-0.00620829,0.016376233,-0.04747849,0.106703956,-0.004217424,0.000503849,0.00886657,0.001926882,-0.017190923,0.026452291,-0.001167975,-0.00425032,-0.002185146,0.006857496,0.052243721,-0.006627065,0.01643358,0.007747176,-0.00210005,-0.009149469,0.042700107
-0.041974432,-0.019859084,0.010116234,0.067067891,0.022609851,0.028047555,0.031399535,0.022762499,0.001081623,-0.00377071,0.009163669,0.01331609,-0.032535615,-0.017672787,0.000245875,0.026883728,0.028358003,0.020177499,0.056050973,0.044110379,0.000118594,-0.007411684,0.028288157,-0.000149049,0.048546881,0.031881366,0.033537055,-0.000869645,-0.002917214,-0.037301296
0.038568419,-0.023500979,-0.042077727,0.036738405,-0.020593935,0.004643444,0.008657892,-6.89E-05,-0.001678301,0.000994496,-0.049574295,-0.019222609,-0.011119371,0.012858282,-1.77E-05,-0.010100151,-0.007982591,-0.011025996,0.030456587,0.002628508,-0.000593355,-0.002264066,-0.018095746,-9.61E-05,-0.053575176,-0.031065098,-0.040708155,-0.090717629,-0.003418511,0.012806216
0.003592038,-0.022183868,0.003219185,0.001867275,0.010468631,-0.013921189,-0.007026147,-0.005733601,0.000678535,-0.005697493,-0.018557248,-0.010458033,-0.013889337,-0.011666061,-0.000163041,-0.026239152,-0.006111156,-0.017305029,-0.006827947,-0.015581174,0.000669707,-0.000454196,-0.006432408,0.000337693,-0.008061858,0.004866528,-0.006033657,0.091445615,-0.000226028,0.009498763
0.007251857,0.015880993,0.010845069,0.020012298,0.010167745,0.037099024,0.034768718,0.02430263,-0.003616462,0.000965354,0.02537554,-0.004308238,0.053562798,0.014984572,0.000519638,0.04312699,0.049308022,-0.010601181,0.035518749,0.032428598,0.016265596,-0.001095905,0.022105595,-0.00043748,0.028221516,0.026011743,0.022706035,-0.087853236,0.000957503,-0.00777791
-0.027350727,-0.009175273,-0.066231108,-0.103413132,-0.037546273,-0.07369671,-0.06904856,-0.068440829,0.000250314,-0.002707126,-0.069315415,-0.06957556,-0.000180812,0.015821609,-0.000350532,-0.06697413,-0.064017001,-0.030846002,-0.115659392,-0.081812556,0.003898441,-0.00903907,-0.058139141,0.000299273,-0.064220807,-0.048345787,-0.061998238,0.001176765,-0.000627094,-0.036355083
0.019829156,0.005281029,-0.052440784,-0.026706582,-0.032698768,-0.011264395,-0.014436497,-0.013080773,-0.000798343,0.017807594,0.01007463,-0.048545631,-0.004066476,-0.019156699,0.000987304,-0.027213738,-0.020388007,-0.025468604,-0.050522957,-0.044830294,0.006866163,-0.015098834,-0.007450901,-0.000345963,-0.013377813,-0.025695987,-0.013223692,-0.118619115,-0.000414398,-0.005456512
