,Date,DBR,AMROBK,BACR-Bank,BNP,BYLAN,CMZB,CSGAG,DB,DZBK,ERGBA,HSBC,HSBC-HSBCBank,INTNED,LBW,NDB,SANPAO,SANTNDR,SEB,SOCGEN,UBS,UCBAG,BACF-BankNA,C,CRDSUI-USAInc,GS,JPM,MWD,RY,MIZUHBA,NOMURA, Open, High, Low,Close
762,2018-11-16,8.604,34.8523,88.0251,57.4932,39.6071,96.2434,78.0799,161.8485,67.6167,52.6411,85.7584,43.6454,78.0354,43.991,88.9325,202.83,71.3871,45.6387,60.6801,42.8626,61.6356,51.4067,64.3459,71.9291,91.5982,56.3679,75.2122,57.2386,55.9423,54.3731,443.14,443.61,443.61,443.61
763,2018-11-19,9.5018,34.8627,88.9703,58.6642,39.7441,95.7113,80.1163,161.6935,67.2531,52.5369,84.8429,43.7089,79.5694,41.4307,90.1265,204.4356,72.3893,47.5608,61.859,43.3961,61.7586,54.1397,64.0352,71.3341,89.8134,57.4466,74.4954,57.5736,56.4263,55.122,443.62,443.46,443.46,443.46
764,2018-11-20,8.9099,35.1844,89.2495,62.5573,39.275,100.4237,82.7518,171.9492,67.2652,52.5595,93.3797,45.43,84.1622,41.3403,91.1496,214.6449,79.6936,48.9854,65.6721,45.7644,61.4446,55.1434,66.5463,71.0164,92.9772,58.6865,77.6402,58.1968,56.4561,55.121,443.39,434.19,434.19,434.19
765,2018-11-21,9.0776,35.5212,93.7675,61.2824,39.3044,100.1513,84.4466,176.7752,67.2793,52.626,91.6874,47.6491,83.675,41.3307,92.2061,211.5676,77.0474,48.6493,64.1095,44.7658,61.1491,57.4213,66.1368,70.685,90.8184,58.3325,76.7803,58.826,55.9411,55.2513,434.21,434.47,434.47,434.47
766,2018-11-22,8.8219,35.1848,92.5472,61.7037,39.3027,100.2565,84.5858,180.4027,66.4668,52.6409,87.4603,47.4846,84.764,41.3161,91.151,212.6575,76.2342,45.9842,64.5635,45.1755,61.0249,58.1175,66.2795,70.4706,91.5184,57.7675,76.3927,59.6974,56.6085,55.2903,434.38,430.5,430.5,430.5
767,2018-11-23,8.9908,35.1843,89.8937,61.6311,39.6273,101.013,85.1644,187.4469,67.0379,52.6472,85.1556,45.7008,83.5658,41.3098,91.5316,210.7949,76.2885,45.9657,64.8599,45.7918,61.0152,57.798,65.8627,70.3336,90.9723,57.6012,76.7167,60.1668,57.5747,55.59,434.38,430.5,430.5,430.5
768,2018-11-26,8.8218,35.5343,90.0548,61.9448,39.6252,99.4016,87.2488,188.5036,67.0763,52.7989,84.2498,44.8131,83.8663,42.6347,91.7339,199.5936,73.2308,45.6309,64.8126,41.7609,61.0579,57.6388,62.6908,70.2595,89.3892,55.1302,73.654,58.8859,57.9394,55.3289,430.5,439.53,439.53,439.53
769,2018-11-27,8.8191,34.8469,88.2733,64.994,39.6252,100.0987,90.2577,190.465,65.8753,53.7962,90.4974,44.4841,86.3763,42.5675,89.9068,202.8082,75.9303,45.9649,68.3671,43.203,60.8551,56.6736,63.199,68.1354,90.3276,55.5252,74.773,59.8289,58.604,55.4301,439.48,439.83,439.83,439.83
770,2018-11-28,8.7042,34.8481,90.8919,66.112,39.6248,100.6872,89.4486,191.1357,66.8063,53.7958,90.848,45.831,86.5524,43.2651,91.0501,206.8586,75.7885,46.1145,68.3341,42.7752,60.8006,55.9139,62.5639,67.5116,87.4876,54.6312,74.1518,60.2333,59.1613,56.3463,439.83,447.82,447.82,447.82
771,2018-11-29,8.8202,34.847,89.867,65.7497,39.29,100.7381,88.5214,198.6446,66.5875,55.1069,90.7397,45.4308,86.6388,43.1203,91.3309,207.8386,75.4542,45.9639,68.0117,43.3982,60.7789,55.3129,60.4909,67.1871,85.5045,52.5834,71.2903,59.3661,58.7752,56.3648,447.72,444.15,444.15,444.15
772,2018-11-30,9.2692,34.8486,90.2492,66.0382,39.4682,103.8007,93.0901,213.9859,66.4646,54.8132,91.8814,45.6931,86.6322,43.086,91.1578,207.9717,75.2355,46.3131,68.3865,45.3988,60.7798,53.244,61.0486,67.0287,87.6543,53.5939,73.1704,58.9917,59.9339,56.7376,444.12,447.08,447.08,447.08
773,2018-12-03,9.3235,35.1969,91.3168,64.3401,39.4285,103.6082,91.9077,218.0898,64.7304,55.4627,90.8269,45.6931,83.1749,43.0969,91.6683,200.3367,72.2365,45.6774,66.0382,44.6506,60.818,53.5808,59.1272,66.8906,86.6952,51.7854,71.2882,56.5526,58.5614,56.5799,447.09,449.2,449.2,449.2
774,2018-12-04,9.4996,34.8461,91.6096,65.4725,39.2886,105.5318,93.8998,222.5519,63.4146,55.5285,92.7035,46.0592,86.297,43.0552,91.6556,200.3212,73.1834,45.6233,68.3022,44.8672,60.7799,52.9497,60.39,66.8812,87.8866,52.7853,72.1593,55.5513,59.1605,56.9454,449.18,429.42,429.42,429.42
