,Date,Close,Open,High,Low,Vol.,Change %
28,"Jan 27, 2016",1882.95,"1,902.52","1,916.99","1,872.70",-,-1.09%
29,"Jan 28, 2016",1893.36,"1,885.22","1,902.96","1,873.65",-,0.55%
30,"Jan 29, 2016",1940.24,"1,894.00","1,940.24","1,894.00",-,2.48%
31,"Feb 01, 2016",1939.38,"1,936.94","1,947.20","1,920.30",-,-0.04%
32,"Feb 02, 2016",1903.03,"1,935.26","1,935.26","1,897.29",-,-1.87%
33,"Feb 03, 2016",1912.53,"1,907.07","1,918.01","1,872.23",-,0.50%
34,"Feb 04, 2016",1915.45,"1,911.67","1,927.35","1,900.52",-,0.15%
35,"Feb 05, 2016",1880.05,"1,913.07","1,913.07","1,872.65",-,-1.85%
36,"Feb 08, 2016",1853.44,"1,873.25","1,873.25","1,828.46",-,-1.42%
37,"Feb 09, 2016",1852.21,"1,848.46","1,868.25","1,834.94",-,-0.07%
38,"Feb 10, 2016",1851.86,"1,857.10","1,881.60","1,850.32",-,-0.02%
39,"Feb 11, 2016",1829.08,"1,847.00","1,847.00","1,810.10",-,-1.23%
40,"Feb 12, 2016",1864.78,"1,833.40","1,864.78","1,833.40",-,1.95%
41,"Feb 16, 2016",1895.58,"1,871.44","1,895.77","1,871.44",-,1.65%
42,"Feb 17, 2016",1926.82,"1,898.80","1,930.68","1,898.80",-,1.65%
43,"Feb 18, 2016",1917.83,"1,927.57","1,930.00","1,915.09",-,-0.47%
44,"Feb 19, 2016",1917.78,"1,916.74","1,918.78","1,902.17",-,0.00%
45,"Feb 22, 2016",1945.5,"1,924.44","1,946.70","1,924.44",-,1.45%
46,"Feb 23, 2016",1921.27,"1,942.38","1,942.38","1,919.44",-,-1.25%
47,"Feb 24, 2016",1929.8,"1,917.56","1,932.08","1,891.00",-,0.44%
48,"Feb 25, 2016",1951.7,"1,931.87","1,951.83","1,925.41",-,1.13%
49,"Feb 26, 2016",1948.05,"1,954.95","1,962.96","1,945.78",-,-0.19%
50,"Feb 29, 2016",1932.23,"1,947.13","1,958.27","1,931.81",-,-0.81%
51,"Mar 01, 2016",1978.35,"1,937.09","1,978.35","1,937.09",-,2.39%
52,"Mar 02, 2016",1986.45,"1,976.60","1,986.51","1,968.80",-,0.41%
53,"Mar 03, 2016",1993.4,"1,985.60","1,993.69","1,977.37",-,0.35%
54,"Mar 04, 2016",1999.99,"1,994.01","2,009.13","1,986.77",-,0.33%
55,"Mar 07, 2016",2001.76,"1,996.11","2,006.12","1,989.38",-,0.09%
56,"Mar 08, 2016",1979.26,"1,996.88","1,996.88","1,977.43",-,-1.12%
57,"Mar 09, 2016",1989.26,"1,981.44","1,992.69","1,979.84",-,0.51%
58,"Mar 10, 2016",1989.57,"1,990.97","2,005.08","1,969.25",-,0.02%
59,"Mar 11, 2016",2022.19,"1,994.71","2,022.37","1,994.71",-,1.64%
60,"Mar 14, 2016",2019.64,"2,019.27","2,024.57","2,012.05",-,-0.13%
61,"Mar 15, 2016",2015.93,"2,015.27","2,015.94","2,005.23",-,-0.18%
62,"Mar 16, 2016",2027.22,"2,014.24","2,032.02","2,010.04",-,0.56%
63,"Mar 17, 2016",2040.59,"2,026.90","2,046.24","2,022.16",-,0.66%
64,"Mar 18, 2016",2049.58,"2,041.16","2,052.36","2,041.16",-,0.44%
65,"Mar 21, 2016",2051.6,"2,047.88","2,053.91","2,043.14",-,0.10%
66,"Mar 22, 2016",2049.8,"2,048.64","2,056.60","2,040.57",-,-0.09%
67,"Mar 23, 2016",2036.71,"2,048.55","2,048.55","2,034.86",-,-0.64%
68,"Mar 24, 2016",2035.94,"2,032.48","2,036.04","2,022.49",-,-0.04%
69,"Mar 28, 2016",2037.05,"2,037.89","2,042.67","2,031.96",-,0.05%
70,"Mar 29, 2016",2055.01,"2,035.75","2,055.91","2,028.31",-,0.88%
71,"Mar 30, 2016",2063.95,"2,058.27","2,072.21","2,058.27",-,0.44%
72,"Mar 31, 2016",2059.74,"2,063.77","2,067.92","2,057.46",-,-0.20%
73,"Apr 01, 2016",2072.78,"2,056.62","2,075.07","2,043.98",-,0.63%
74,"Apr 04, 2016",2066.13,"2,073.19","2,074.02","2,062.57",-,-0.32%
75,"Apr 05, 2016",2045.17,"2,062.50","2,062.50","2,042.56",-,-1.01%
76,"Apr 06, 2016",2066.66,"2,045.56","2,067.33","2,043.09",-,1.05%
77,"Apr 07, 2016",2041.91,"2,063.01","2,063.01","2,033.80",-,-1.20%
78,"Apr 08, 2016",2047.6,"2,045.54","2,060.63","2,041.69",-,0.28%
79,"Apr 11, 2016",2041.99,"2,050.23","2,062.93","2,041.88",-,-0.27%
80,"Apr 12, 2016",2061.72,"2,043.72","2,065.05","2,039.74",-,0.97%
81,"Apr 13, 2016",2082.42,"2,065.92","2,083.18","2,065.92",-,1.00%
82,"Apr 14, 2016",2082.78,"2,082.89","2,087.84","2,078.13",-,0.02%
83,"Apr 15, 2016",2080.73,"2,083.10","2,083.22","2,076.31",-,-0.10%
84,"Apr 18, 2016",2094.34,"2,078.83","2,094.66","2,073.65",-,0.65%
85,"Apr 19, 2016",2100.8,"2,096.05","2,104.05","2,091.68",-,0.31%
86,"Apr 20, 2016",2102.4,"2,101.52","2,111.05","2,096.32",-,0.08%
87,"Apr 21, 2016",2091.48,"2,102.09","2,103.78","2,088.52",-,-0.52%
88,"Apr 22, 2016",2091.58,"2,091.49","2,094.32","2,081.20",-,0.00%
89,"Apr 25, 2016",2087.79,"2,089.37","2,089.37","2,077.52",-,-0.18%
90,"Apr 26, 2016",2091.7,"2,089.84","2,096.87","2,085.80",-,0.19%
91,"Apr 27, 2016",2095.15,"2,092.33","2,099.89","2,082.31",-,0.16%
92,"Apr 28, 2016",2075.81,"2,090.93","2,099.30","2,071.62",-,-0.92%
93,"Apr 29, 2016",2065.3,"2,071.82","2,073.85","2,052.28",-,-0.51%
94,"May 02, 2016",2081.43,"2,067.17","2,083.42","2,066.11",-,0.78%
95,"May 03, 2016",2063.37,"2,077.18","2,077.18","2,054.89",-,-0.87%
96,"May 04, 2016",2051.12,"2,060.30","2,060.30","2,045.55",-,-0.59%
97,"May 05, 2016",2050.63,"2,052.95","2,060.23","2,045.77",-,-0.02%
98,"May 06, 2016",2057.14,"2,047.77","2,057.72","2,039.45",-,0.32%
99,"May 09, 2016",2058.69,"2,057.55","2,064.15","2,054.31",-,0.08%
100,"May 10, 2016",2084.39,"2,062.63","2,084.87","2,062.63",-,1.25%
101,"May 11, 2016",2064.46,"2,083.29","2,083.29","2,064.46",-,-0.96%
102,"May 12, 2016",2064.11,"2,067.17","2,073.99","2,053.13",-,-0.02%
103,"May 13, 2016",2046.61,"2,062.50","2,066.79","2,043.13",-,-0.85%
104,"May 16, 2016",2066.66,"2,046.53","2,071.88","2,046.53",-,0.98%
105,"May 17, 2016",2047.21,"2,065.04","2,065.69","2,040.82",-,-0.94%
106,"May 18, 2016",2047.63,"2,044.38","2,060.61","2,034.49",-,0.02%
107,"May 19, 2016",2040.04,"2,044.21","2,044.21","2,025.91",-,-0.37%
108,"May 20, 2016",2052.32,"2,041.88","2,058.35","2,041.88",-,0.60%
109,"May 23, 2016",2048.04,"2,052.23","2,055.58","2,047.26",-,-0.21%
110,"May 24, 2016",2076.06,"2,052.65","2,079.67","2,052.65",-,1.37%
111,"May 25, 2016",2090.54,"2,078.93","2,094.73","2,078.93",-,0.70%
112,"May 26, 2016",2090.1,"2,091.44","2,094.30","2,087.08",-,-0.02%
113,"May 27, 2016",2099.06,"2,090.06","2,099.06","2,090.06",-,0.43%
114,"May 31, 2016",2096.96,"2,100.13","2,103.48","2,088.66",-,-0.10%
115,"Jun 01, 2016",2099.33,"2,093.94","2,100.97","2,085.10",-,0.11%
116,"Jun 02, 2016",2105.26,"2,097.71","2,105.26","2,088.59",-,0.28%
117,"Jun 03, 2016",2099.13,"2,104.07","2,104.07","2,085.36",-,-0.29%
118,"Jun 06, 2016",2109.41,"2,100.83","2,113.36","2,100.83",-,0.49%
119,"Jun 07, 2016",2112.13,"2,110.18","2,119.22","2,110.18",-,0.13%
120,"Jun 08, 2016",2119.12,"2,112.71","2,120.55","2,112.71",-,0.33%
121,"Jun 09, 2016",2115.48,"2,115.65","2,117.64","2,107.73",-,-0.17%
122,"Jun 10, 2016",2096.07,"2,109.57","2,109.57","2,089.96",-,-0.92%
123,"Jun 13, 2016",2079.06,"2,091.75","2,098.12","2,078.46",-,-0.81%
124,"Jun 14, 2016",2075.32,"2,076.65","2,081.30","2,064.10",-,-0.18%
125,"Jun 15, 2016",2071.5,"2,077.60","2,085.65","2,069.80",-,-0.18%
126,"Jun 16, 2016",2077.99,"2,066.36","2,079.62","2,050.37",-,0.31%
127,"Jun 17, 2016",2071.22,"2,078.20","2,078.20","2,062.84",-,-0.33%
128,"Jun 20, 2016",2083.25,"2,075.58","2,100.66","2,075.58",-,0.58%
129,"Jun 21, 2016",2088.9,"2,085.19","2,093.66","2,083.02",-,0.27%
130,"Jun 22, 2016",2085.45,"2,089.75","2,099.71","2,084.36",-,-0.17%
131,"Jun 23, 2016",2113.32,"2,092.80","2,113.32","2,092.80",-,1.34%
132,"Jun 24, 2016",2037.41,"2,103.81","2,103.81","2,032.57",-,-3.59%
133,"Jun 27, 2016",2000.54,"2,031.45","2,031.45","1,991.68",-,-1.81%
134,"Jun 28, 2016",2036.09,"2,006.67","2,036.09","2,006.67",-,1.78%
135,"Jun 29, 2016",2070.77,"2,042.69","2,073.13","2,042.69",-,1.70%
136,"Jun 30, 2016",2098.86,"2,073.17","2,098.94","2,070.00",-,1.36%
137,"Jul 01, 2016",2102.95,"2,099.34","2,108.71","2,097.90",-,0.19%
138,"Jul 05, 2016",2088.55,"2,095.05","2,095.05","2,080.86",-,-0.68%
139,"Jul 06, 2016",2099.73,"2,084.43","2,100.72","2,074.02",-,0.54%
140,"Jul 07, 2016",2097.9,"2,100.42","2,109.08","2,089.39",-,-0.09%
141,"Jul 08, 2016",2129.9,"2,106.97","2,131.71","2,106.97",-,1.53%
142,"Jul 11, 2016",2137.16,"2,131.72","2,143.16","2,131.72",-,0.34%
143,"Jul 12, 2016",2152.14,"2,139.50","2,155.40","2,139.50",-,0.70%
144,"Jul 13, 2016",2152.43,"2,153.81","2,156.45","2,146.21",-,0.01%
145,"Jul 14, 2016",2163.75,"2,157.88","2,168.99","2,157.88",-,0.53%
146,"Jul 15, 2016",2161.74,"2,165.13","2,169.05","2,155.79",-,-0.09%
147,"Jul 18, 2016",2166.89,"2,162.04","2,168.35","2,159.63",-,0.24%
148,"Jul 19, 2016",2163.78,"2,163.79","2,164.63","2,159.01",-,-0.14%
149,"Jul 20, 2016",2173.02,"2,166.10","2,175.63","2,164.89",-,0.43%
150,"Jul 21, 2016",2165.17,"2,172.91","2,174.56","2,159.75",-,-0.36%
151,"Jul 22, 2016",2175.03,"2,166.47","2,175.11","2,163.24",-,0.46%
152,"Jul 25, 2016",2168.48,"2,173.71","2,173.71","2,161.95",-,-0.30%
153,"Jul 26, 2016",2169.18,"2,168.97","2,173.54","2,160.18",-,0.03%
154,"Jul 27, 2016",2166.58,"2,169.81","2,174.98","2,159.07",-,-0.12%
155,"Jul 28, 2016",2170.06,"2,166.05","2,172.85","2,159.74",-,0.16%
156,"Jul 29, 2016",2173.6,"2,168.83","2,177.09","2,163.49",-,0.16%
157,"Aug 01, 2016",2170.84,"2,173.15","2,178.29","2,166.21",-,-0.13%
158,"Aug 02, 2016",2157.03,"2,169.94","2,170.20","2,147.58",-,-0.64%
159,"Aug 03, 2016",2163.79,"2,156.81","2,163.79","2,152.56",-,0.31%
160,"Aug 04, 2016",2164.25,"2,163.51","2,168.19","2,159.07",-,0.02%
161,"Aug 05, 2016",2182.87,"2,168.79","2,182.87","2,168.79",-,0.86%
162,"Aug 08, 2016",2180.89,"2,183.76","2,185.44","2,177.85",-,-0.09%
163,"Aug 09, 2016",2181.74,"2,182.24","2,187.66","2,178.61",-,0.04%
164,"Aug 10, 2016",2175.49,"2,182.81","2,183.41","2,172.00",-,-0.29%
165,"Aug 11, 2016",2185.79,"2,177.97","2,188.45","2,177.97",-,0.47%
166,"Aug 12, 2016",2184.05,"2,183.74","2,186.28","2,179.42",-,-0.08%
167,"Aug 15, 2016",2190.15,"2,186.08","2,193.81","2,186.08",-,0.28%
168,"Aug 16, 2016",2178.15,"2,186.24","2,186.24","2,178.14",-,-0.55%
169,"Aug 17, 2016",2182.22,"2,177.84","2,183.08","2,168.50",-,0.19%
170,"Aug 18, 2016",2187.02,"2,181.90","2,187.03","2,180.46",-,0.22%
171,"Aug 19, 2016",2183.87,"2,184.24","2,185.00","2,175.13",-,-0.14%
172,"Aug 22, 2016",2182.64,"2,181.58","2,185.15","2,175.96",-,-0.06%
173,"Aug 23, 2016",2186.9,"2,187.81","2,193.42","2,186.80",-,0.20%
174,"Aug 24, 2016",2175.44,"2,185.09","2,186.66","2,171.25",-,-0.52%
175,"Aug 25, 2016",2172.47,"2,173.29","2,179.00","2,169.74",-,-0.14%
176,"Aug 26, 2016",2169.04,"2,175.10","2,187.94","2,160.39",-,-0.16%
177,"Aug 29, 2016",2180.38,"2,170.19","2,183.48","2,170.19",-,0.52%
178,"Aug 30, 2016",2176.12,"2,179.45","2,182.27","2,170.41",-,-0.20%
179,"Aug 31, 2016",2170.95,"2,173.56","2,173.79","2,161.35",-,-0.24%
180,"Sep 01, 2016",2170.86,"2,171.33","2,173.56","2,157.09",-,0.00%
181,"Sep 02, 2016",2179.98,"2,177.49","2,184.87","2,173.59",-,0.42%
182,"Sep 06, 2016",2186.48,"2,181.61","2,186.57","2,175.10",-,0.30%
183,"Sep 07, 2016",2186.16,"2,185.17","2,187.87","2,179.07",-,-0.01%
184,"Sep 08, 2016",2181.3,"2,182.76","2,184.94","2,177.49",-,-0.22%
185,"Sep 09, 2016",2127.81,"2,169.08","2,169.08","2,127.81",-,-2.45%
186,"Sep 12, 2016",2159.04,"2,120.86","2,163.30","2,119.12",-,1.47%
187,"Sep 13, 2016",2127.02,"2,150.47","2,150.47","2,120.27",-,-1.48%
188,"Sep 14, 2016",2125.77,"2,127.86","2,141.33","2,119.90",-,-0.06%
189,"Sep 15, 2016",2147.26,"2,125.36","2,151.31","2,122.36",-,1.01%
190,"Sep 16, 2016",2139.16,"2,146.48","2,146.48","2,131.20",-,-0.38%
191,"Sep 19, 2016",2139.12,"2,143.99","2,153.61","2,135.91",-,0.00%
192,"Sep 20, 2016",2139.76,"2,145.94","2,150.80","2,139.17",-,0.03%
193,"Sep 21, 2016",2163.12,"2,144.58","2,165.11","2,139.57",-,1.09%
194,"Sep 22, 2016",2177.18,"2,170.94","2,179.99","2,170.94",-,0.65%
195,"Sep 23, 2016",2164.69,"2,173.29","2,173.75","2,163.97",-,-0.57%
196,"Sep 26, 2016",2146.1,"2,158.54","2,158.54","2,145.04",-,-0.86%
197,"Sep 27, 2016",2159.93,"2,146.04","2,161.13","2,141.55",-,0.64%
198,"Sep 28, 2016",2171.37,"2,161.85","2,172.40","2,151.79",-,0.53%
199,"Sep 29, 2016",2151.13,"2,168.90","2,172.67","2,145.20",-,-0.93%
200,"Sep 30, 2016",2168.27,"2,156.51","2,175.30","2,156.51",-,0.80%
201,"Oct 03, 2016",2161.2,"2,164.33","2,164.41","2,154.77",-,-0.33%
202,"Oct 04, 2016",2150.49,"2,163.37","2,165.46","2,144.01",-,-0.50%
203,"Oct 05, 2016",2159.73,"2,155.15","2,163.95","2,155.15",-,0.43%
204,"Oct 06, 2016",2160.77,"2,158.22","2,162.93","2,150.28",-,0.05%
205,"Oct 07, 2016",2153.74,"2,164.19","2,165.86","2,144.85",-,-0.33%
206,"Oct 10, 2016",2163.66,"2,160.39","2,169.60","2,160.39",-,0.46%
207,"Oct 11, 2016",2136.73,"2,161.35","2,161.56","2,128.84",-,-1.24%
208,"Oct 12, 2016",2139.18,"2,137.67","2,145.36","2,132.77",-,0.11%
209,"Oct 13, 2016",2132.55,"2,130.26","2,138.19","2,114.72",-,-0.31%
210,"Oct 14, 2016",2132.98,"2,139.68","2,149.19","2,132.98",-,0.02%
211,"Oct 17, 2016",2126.5,"2,132.95","2,135.61","2,124.43",-,-0.30%
212,"Oct 18, 2016",2139.6,"2,138.31","2,144.38","2,135.49",-,0.62%
213,"Oct 19, 2016",2144.29,"2,140.81","2,148.44","2,138.15",-,0.22%
214,"Oct 20, 2016",2141.34,"2,142.51","2,147.18","2,133.44",-,-0.14%
215,"Oct 21, 2016",2141.16,"2,139.43","2,142.63","2,130.09",-,-0.01%
216,"Oct 24, 2016",2151.33,"2,148.50","2,154.79","2,146.91",-,0.47%
217,"Oct 25, 2016",2143.16,"2,149.72","2,151.44","2,141.93",-,-0.38%
218,"Oct 26, 2016",2139.43,"2,136.97","2,145.73","2,131.59",-,-0.17%
219,"Oct 27, 2016",2133.04,"2,144.06","2,147.13","2,132.52",-,-0.30%
220,"Oct 28, 2016",2126.41,"2,132.23","2,140.72","2,119.36",-,-0.31%
221,"Oct 31, 2016",2126.15,"2,129.78","2,133.25","2,125.53",-,-0.01%
222,"Nov 01, 2016",2111.72,"2,128.68","2,131.45","2,097.85",-,-0.68%
223,"Nov 02, 2016",2097.94,"2,109.43","2,111.76","2,094.00",-,-0.65%
224,"Nov 03, 2016",2088.66,"2,098.80","2,102.56","2,085.23",-,-0.44%
225,"Nov 04, 2016",2085.18,"2,083.79","2,099.07","2,083.79",-,-0.17%
226,"Nov 07, 2016",2131.52,"2,100.59","2,132.00","2,100.59",-,2.22%
227,"Nov 08, 2016",2139.56,"2,129.92","2,146.87","2,123.56",-,0.38%
228,"Nov 09, 2016",2163.26,"2,131.56","2,170.10","2,125.35",-,1.11%
229,"Nov 10, 2016",2167.48,"2,167.49","2,182.30","2,151.17",-,0.20%
230,"Nov 11, 2016",2164.45,"2,162.71","2,165.92","2,152.49",-,-0.14%
231,"Nov 14, 2016",2164.2,"2,165.64","2,171.36","2,156.08",-,-0.01%
232,"Nov 15, 2016",2180.39,"2,168.29","2,180.84","2,166.38",-,0.75%
233,"Nov 16, 2016",2176.94,"2,177.53","2,179.22","2,172.20",-,-0.16%
234,"Nov 17, 2016",2187.12,"2,178.61","2,188.06","2,176.65",-,0.47%
235,"Nov 18, 2016",2181.9,"2,186.85","2,189.89","2,180.38",-,-0.24%
236,"Nov 21, 2016",2198.18,"2,186.43","2,198.70","2,186.43",-,0.75%
237,"Nov 22, 2016",2202.94,"2,201.56","2,204.80","2,194.51",-,0.22%
238,"Nov 23, 2016",2204.72,"2,198.55","2,204.72","2,194.51",-,0.08%
239,"Nov 25, 2016",2213.35,"2,206.27","2,213.35","2,206.27",-,0.39%
240,"Nov 28, 2016",2201.72,"2,210.21","2,211.14","2,200.36",-,-0.53%
241,"Nov 29, 2016",2204.66,"2,200.76","2,210.46","2,198.15",-,0.13%
242,"Nov 30, 2016",2198.81,"2,204.97","2,214.10","2,198.81",-,-0.27%
243,"Dec 01, 2016",2191.08,"2,200.17","2,202.60","2,187.44",-,-0.35%
244,"Dec 02, 2016",2191.95,"2,191.12","2,197.95","2,188.37",-,0.04%
245,"Dec 05, 2016",2204.71,"2,200.65","2,209.42","2,199.97",-,0.58%
246,"Dec 06, 2016",2212.23,"2,207.26","2,212.78","2,202.21",-,0.34%
247,"Dec 07, 2016",2241.35,"2,210.72","2,241.63","2,208.93",-,1.32%
248,"Dec 08, 2016",2246.19,"2,241.13","2,251.69","2,237.57",-,0.22%
249,"Dec 09, 2016",2259.53,"2,249.73","2,259.80","2,249.23",-,0.59%
250,"Dec 12, 2016",2256.96,"2,258.83","2,264.03","2,252.37",-,-0.11%
251,"Dec 13, 2016",2271.72,"2,263.32","2,277.53","2,263.32",-,0.65%
252,"Dec 14, 2016",2253.28,"2,268.35","2,276.20","2,248.44",-,-0.81%
253,"Dec 15, 2016",2262.03,"2,253.77","2,272.12","2,253.77",-,0.39%
254,"Dec 16, 2016",2258.07,"2,266.81","2,268.05","2,254.24",-,-0.18%
255,"Dec 19, 2016",2262.53,"2,259.24","2,267.47","2,258.21",-,0.20%
256,"Dec 20, 2016",2270.76,"2,266.50","2,272.56","2,266.14",-,0.36%
257,"Dec 21, 2016",2265.18,"2,270.54","2,271.23","2,265.15",-,-0.25%
258,"Dec 22, 2016",2260.96,"2,262.93","2,263.18","2,256.08",-,-0.19%
259,"Dec 23, 2016",2263.79,"2,260.25","2,263.79","2,258.84",-,0.13%
260,"Dec 27, 2016",2268.88,"2,266.23","2,273.82","2,266.15",-,0.22%
261,"Dec 28, 2016",2249.92,"2,270.23","2,271.31","2,249.11",-,-0.84%
262,"Dec 29, 2016",2249.26,"2,249.50","2,254.51","2,244.56",-,-0.03%
263,"Dec 30, 2016",2238.83,"2,251.61","2,253.58","2,233.62",-,-0.46%
264,"Jan 03, 2017",2257.83,"2,251.57","2,263.88","2,245.13",-,0.85%
265,"Jan 04, 2017",2270.75,"2,261.60","2,272.82","2,261.60",-,0.57%
266,"Jan 05, 2017",2269,"2,268.18","2,271.50","2,260.45",-,-0.08%
267,"Jan 06, 2017",2276.98,"2,271.14","2,282.10","2,264.06",-,0.35%
268,"Jan 09, 2017",2268.9,"2,273.59","2,275.49","2,268.90",-,-0.35%
269,"Jan 10, 2017",2268.9,"2,269.72","2,279.27","2,265.27",-,0.00%
270,"Jan 11, 2017",2275.32,"2,268.60","2,275.32","2,260.83",-,0.28%
271,"Jan 12, 2017",2270.44,"2,271.14","2,271.78","2,254.25",-,-0.21%
272,"Jan 13, 2017",2274.64,"2,272.74","2,278.68","2,271.51",-,0.18%
273,"Jan 17, 2017",2267.89,"2,269.14","2,272.08","2,262.81",-,-0.30%
274,"Jan 18, 2017",2271.89,"2,269.14","2,272.01","2,263.35",-,0.18%
275,"Jan 19, 2017",2263.69,"2,271.90","2,274.33","2,258.41",-,-0.36%
276,"Jan 20, 2017",2271.31,"2,269.96","2,276.96","2,265.01",-,0.34%
277,"Jan 23, 2017",2265.2,"2,267.78","2,271.78","2,257.02",-,-0.27%
278,"Jan 24, 2017",2280.07,"2,267.88","2,284.63","2,266.68",-,0.66%
279,"Jan 25, 2017",2298.37,"2,288.88","2,299.55","2,288.88",-,0.80%
280,"Jan 26, 2017",2296.68,"2,298.63","2,300.99","2,294.08",-,-0.07%
281,"Jan 27, 2017",2294.69,"2,299.02","2,299.02","2,291.62",-,-0.09%
282,"Jan 30, 2017",2280.9,"2,286.01","2,286.01","2,268.04",-,-0.60%
283,"Jan 31, 2017",2278.87,"2,274.02","2,279.09","2,267.21",-,-0.09%
284,"Feb 01, 2017",2279.55,"2,285.59","2,289.14","2,272.44",-,0.03%
285,"Feb 02, 2017",2280.85,"2,276.69","2,283.97","2,271.65",-,0.06%
286,"Feb 03, 2017",2297.42,"2,288.54","2,298.31","2,287.88",-,0.73%
287,"Feb 06, 2017",2292.56,"2,294.28","2,296.18","2,288.57",-,-0.21%
288,"Feb 07, 2017",2293.08,"2,295.87","2,299.40","2,290.16",-,0.02%
289,"Feb 08, 2017",2294.67,"2,289.55","2,295.91","2,285.38",-,0.07%
290,"Feb 09, 2017",2307.87,"2,296.70","2,311.08","2,296.61",-,0.58%
291,"Feb 10, 2017",2316.1,"2,312.27","2,319.23","2,311.10",-,0.36%
292,"Feb 13, 2017",2328.25,"2,321.72","2,331.58","2,321.42",-,0.52%
293,"Feb 14, 2017",2337.58,"2,326.12","2,337.58","2,322.17",-,0.40%
294,"Feb 15, 2017",2349.25,"2,335.58","2,351.30","2,334.81",-,0.50%
295,"Feb 16, 2017",2347.22,"2,349.64","2,351.31","2,338.87",-,-0.09%
296,"Feb 17, 2017",2351.16,"2,343.01","2,351.16","2,339.58",-,0.17%
297,"Feb 21, 2017",2365.38,"2,354.91","2,366.71","2,354.91",-,0.60%
298,"Feb 22, 2017",2362.82,"2,361.11","2,365.13","2,358.34",-,-0.11%
299,"Feb 23, 2017",2363.81,"2,367.50","2,368.26","2,355.09",-,0.04%
300,"Feb 24, 2017",2367.34,"2,355.73","2,367.34","2,352.87",-,0.15%
301,"Feb 27, 2017",2369.75,"2,365.23","2,371.54","2,361.87",-,0.10%
302,"Feb 28, 2017",2363.64,"2,366.08","2,367.79","2,358.96",-,-0.26%
303,"Mar 01, 2017",2395.96,"2,380.13","2,400.98","2,380.13",-,1.37%
304,"Mar 02, 2017",2381.92,"2,394.75","2,394.75","2,380.17",-,-0.59%
305,"Mar 03, 2017",2383.12,"2,380.92","2,383.89","2,375.39",-,0.05%
306,"Mar 06, 2017",2375.31,"2,375.23","2,378.80","2,367.98",-,-0.33%
307,"Mar 07, 2017",2368.39,"2,370.74","2,375.12","2,365.51",-,-0.29%
308,"Mar 08, 2017",2362.98,"2,369.81","2,373.09","2,361.01",-,-0.23%
309,"Mar 09, 2017",2364.87,"2,363.49","2,369.08","2,354.54",-,0.08%
310,"Mar 10, 2017",2372.6,"2,372.52","2,376.86","2,363.04",-,0.33%
311,"Mar 13, 2017",2373.47,"2,371.56","2,374.42","2,368.52",-,0.04%
312,"Mar 14, 2017",2365.45,"2,368.55","2,368.55","2,358.18",-,-0.34%
313,"Mar 15, 2017",2385.26,"2,370.34","2,390.01","2,368.94",-,0.84%
314,"Mar 16, 2017",2381.38,"2,387.71","2,388.10","2,377.18",-,-0.16%
